scenario,mix_name,case_key,weight,total_return_contribution_pct,trades,avg_trade_return_pct,win_rate,max_drawdown_pct
2020_covid_crash,core_mix,combo_current__pullback2__margin_le20,0.5,0.0,0,,,0.0
2020_covid_crash,core_mix,combo_current__ma5__margin_le20,0.25,0.0,0,,,0.0
2020_covid_crash,core_mix,combo_current__rsi70__margin_le5,0.15,0.0,0,,,0.0
2020_covid_crash,core_mix,combo_current__fixed10,0.1,0.9099,179,0.9453,36.87,-5.2688
2020_covid_crash,pullback2_only,combo_current__pullback2__margin_le20,1.0,0.0,0,,,0.0
2020_covid_crash,defensive_mix,combo_current__pullback2__margin_le20,0.4,0.0,0,,,0.0
2020_covid_crash,defensive_mix,combo_current__rsi70__margin_le5,0.3,0.0,0,,,0.0
2020_covid_crash,defensive_mix,combo_current__fixed10,0.2,1.8198,179,0.9453,36.87,-5.2688
2020_covid_crash,defensive_mix,combo_current__ma5__margin_le20,0.1,0.0,0,,,0.0
2020_covid_crash,bull_mix,combo_current__ma5__margin_le20,0.4,0.0,0,,,0.0
2020_covid_crash,bull_mix,combo_current__pullback2__margin_le20,0.4,0.0,0,,,0.0
2020_covid_crash,bull_mix,combo_current__rsi70__margin_le5,0.1,0.0,0,,,0.0
2020_covid_crash,bull_mix,combo_current__fixed10,0.1,0.9099,179,0.9453,36.87,-5.2688
2022_rate_hike_bear,core_mix,combo_current__pullback2__margin_le20,0.5,0.0,0,,,0.0
2022_rate_hike_bear,core_mix,combo_current__ma5__margin_le20,0.25,0.0,0,,,0.0
2022_rate_hike_bear,core_mix,combo_current__rsi70__margin_le5,0.15,0.0,0,,,0.0
2022_rate_hike_bear,core_mix,combo_current__fixed10,0.1,0.3147,834,0.6407,38.01,-11.0176
2022_rate_hike_bear,pullback2_only,combo_current__pullback2__margin_le20,1.0,0.0,0,,,0.0
2022_rate_hike_bear,defensive_mix,combo_current__pullback2__margin_le20,0.4,0.0,0,,,0.0
2022_rate_hike_bear,defensive_mix,combo_current__rsi70__margin_le5,0.3,0.0,0,,,0.0
2022_rate_hike_bear,defensive_mix,combo_current__fixed10,0.2,0.6295,834,0.6407,38.01,-11.0176
2022_rate_hike_bear,defensive_mix,combo_current__ma5__margin_le20,0.1,0.0,0,,,0.0
2022_rate_hike_bear,bull_mix,combo_current__ma5__margin_le20,0.4,0.0,0,,,0.0
2022_rate_hike_bear,bull_mix,combo_current__pullback2__margin_le20,0.4,0.0,0,,,0.0
2022_rate_hike_bear,bull_mix,combo_current__rsi70__margin_le5,0.1,0.0,0,,,0.0
2022_rate_hike_bear,bull_mix,combo_current__fixed10,0.1,0.3147,834,0.6407,38.01,-11.0176
2023_rebound,core_mix,combo_current__pullback2__margin_le20,0.5,24.9278,600,1.9591,56.5,-5.2646
2023_rebound,core_mix,combo_current__ma5__margin_le20,0.25,11.5126,580,1.8904,56.72,-6.9039
2023_rebound,core_mix,combo_current__rsi70__margin_le5,0.15,6.8898,571,1.7315,60.6,-5.2668
2023_rebound,core_mix,combo_current__fixed10,0.1,5.2201,716,2.0734,50.42,-4.6701
2023_rebound,pullback2_only,combo_current__pullback2__margin_le20,1.0,49.8557,600,1.9591,56.5,-5.2646
2023_rebound,defensive_mix,combo_current__pullback2__margin_le20,0.4,19.9423,600,1.9591,56.5,-5.2646
2023_rebound,defensive_mix,combo_current__rsi70__margin_le5,0.3,13.7797,571,1.7315,60.6,-5.2668
2023_rebound,defensive_mix,combo_current__fixed10,0.2,10.4402,716,2.0734,50.42,-4.6701
2023_rebound,defensive_mix,combo_current__ma5__margin_le20,0.1,4.605,580,1.8904,56.72,-6.9039
2023_rebound,bull_mix,combo_current__ma5__margin_le20,0.4,18.4201,580,1.8904,56.72,-6.9039
2023_rebound,bull_mix,combo_current__pullback2__margin_le20,0.4,19.9423,600,1.9591,56.5,-5.2646
2023_rebound,bull_mix,combo_current__rsi70__margin_le5,0.1,4.5932,571,1.7315,60.6,-5.2668
2023_rebound,bull_mix,combo_current__fixed10,0.1,5.2201,716,2.0734,50.42,-4.6701
2024_ai_bubble,core_mix,combo_current__pullback2__margin_le20,0.5,35.1091,640,2.6297,59.22,-6.5654
2024_ai_bubble,core_mix,combo_current__ma5__margin_le20,0.25,15.4931,629,2.2822,59.62,-7.3543
2024_ai_bubble,core_mix,combo_current__rsi70__margin_le5,0.15,8.7176,640,1.8182,61.41,-3.5998
2024_ai_bubble,core_mix,combo_current__fixed10,0.1,9.3913,772,2.7462,54.92,-3.8919
2024_ai_bubble,pullback2_only,combo_current__pullback2__margin_le20,1.0,70.2183,640,2.6297,59.22,-6.5654
2024_ai_bubble,defensive_mix,combo_current__pullback2__margin_le20,0.4,28.0873,640,2.6297,59.22,-6.5654
2024_ai_bubble,defensive_mix,combo_current__rsi70__margin_le5,0.3,17.4353,640,1.8182,61.41,-3.5998
2024_ai_bubble,defensive_mix,combo_current__fixed10,0.2,18.7826,772,2.7462,54.92,-3.8919
2024_ai_bubble,defensive_mix,combo_current__ma5__margin_le20,0.1,6.1972,629,2.2822,59.62,-7.3543
2024_ai_bubble,bull_mix,combo_current__ma5__margin_le20,0.4,24.789,629,2.2822,59.62,-7.3543
2024_ai_bubble,bull_mix,combo_current__pullback2__margin_le20,0.4,28.0873,640,2.6297,59.22,-6.5654
2024_ai_bubble,bull_mix,combo_current__rsi70__margin_le5,0.1,5.8118,640,1.8182,61.41,-3.5998
2024_ai_bubble,bull_mix,combo_current__fixed10,0.1,9.3913,772,2.7462,54.92,-3.8919
2025_ai_bubble,core_mix,combo_current__pullback2__margin_le20,0.5,34.1823,636,3.3228,61.01,-3.8434
2025_ai_bubble,core_mix,combo_current__ma5__margin_le20,0.25,11.194,618,3.3245,59.87,-6.4544
2025_ai_bubble,core_mix,combo_current__rsi70__margin_le5,0.15,9.0701,617,2.6454,62.88,-4.6618
2025_ai_bubble,core_mix,combo_current__fixed10,0.1,6.2146,739,2.9022,56.02,-3.7463
2025_ai_bubble,pullback2_only,combo_current__pullback2__margin_le20,1.0,68.3646,636,3.3228,61.01,-3.8434
2025_ai_bubble,defensive_mix,combo_current__pullback2__margin_le20,0.4,27.3458,636,3.3228,61.01,-3.8434
2025_ai_bubble,defensive_mix,combo_current__rsi70__margin_le5,0.3,18.1402,617,2.6454,62.88,-4.6618
2025_ai_bubble,defensive_mix,combo_current__fixed10,0.2,12.4292,739,2.9022,56.02,-3.7463
2025_ai_bubble,defensive_mix,combo_current__ma5__margin_le20,0.1,4.4776,618,3.3245,59.87,-6.4544
2025_ai_bubble,bull_mix,combo_current__ma5__margin_le20,0.4,17.9104,618,3.3245,59.87,-6.4544
2025_ai_bubble,bull_mix,combo_current__pullback2__margin_le20,0.4,27.3458,636,3.3228,61.01,-3.8434
2025_ai_bubble,bull_mix,combo_current__rsi70__margin_le5,0.1,6.0467,617,2.6454,62.88,-4.6618
2025_ai_bubble,bull_mix,combo_current__fixed10,0.1,6.2146,739,2.9022,56.02,-3.7463
custom_recent,core_mix,combo_current__pullback2__margin_le20,0.5,6.9301,163,1.0763,42.94,-8.0551
custom_recent,core_mix,combo_current__ma5__margin_le20,0.25,2.1954,162,0.9643,40.74,-8.5879
custom_recent,core_mix,combo_current__rsi70__margin_le5,0.15,1.8077,166,0.9871,44.58,-8.6737
custom_recent,core_mix,combo_current__fixed10,0.1,1.4115,193,1.2088,39.9,-5.1714
custom_recent,pullback2_only,combo_current__pullback2__margin_le20,1.0,13.8601,163,1.0763,42.94,-8.0551
custom_recent,defensive_mix,combo_current__pullback2__margin_le20,0.4,5.544,163,1.0763,42.94,-8.0551
custom_recent,defensive_mix,combo_current__rsi70__margin_le5,0.3,3.6155,166,0.9871,44.58,-8.6737
custom_recent,defensive_mix,combo_current__fixed10,0.2,2.8231,193,1.2088,39.9,-5.1714
custom_recent,defensive_mix,combo_current__ma5__margin_le20,0.1,0.8782,162,0.9643,40.74,-8.5879
custom_recent,bull_mix,combo_current__ma5__margin_le20,0.4,3.5126,162,0.9643,40.74,-8.5879
custom_recent,bull_mix,combo_current__pullback2__margin_le20,0.4,5.544,163,1.0763,42.94,-8.0551
custom_recent,bull_mix,combo_current__rsi70__margin_le5,0.1,1.2052,166,0.9871,44.58,-8.6737
custom_recent,bull_mix,combo_current__fixed10,0.1,1.4115,193,1.2088,39.9,-5.1714
